DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/rest_framework/schemas/generators.py first seen with mtime 1728116268.8188283
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/contrib/contenttypes/models.py first seen with mtime 1728116266.3087797
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/db/migrations/operations/base.py first seen with mtime 1728116266.684787
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/djoser/urls/base.py first seen with mtime 1728116269.94185
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/db/models/sql/constants.py first seen with mtime 1728116266.6957872
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/rest_framework/utils/__init__.py first seen with mtime 1728116268.8478289
DEBUG 2024-10-18 10:04:29,633 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/core/cache/backends/filebased.py first seen with mtime 1728116266.6527863
DEBUG 2024-10-18 10:04:29,634 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/charset_normalizer/version.py first seen with mtime 1728116264.206739
DEBUG 2024-10-18 10:04:29,634 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/db/models/functions/text.py first seen with mtime 1728116266.694787
DEBUG 2024-10-18 10:04:29,634 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/utils/http.py first seen with mtime 1728116266.7307878
DEBUG 2024-10-18 10:04:29,634 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/contrib/postgres/search.py first seen with mtime 1728116266.4947832
DEBUG 2024-10-18 10:04:29,634 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/account/signals.py first seen with mtime 1728909234.1064608
DEBUG 2024-10-18 10:04:29,634 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/charset_normalizer/models.py first seen with mtime 1728116264.208739
DEBUG 2024-10-18 10:04:29,634 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/db/backends/utils.py first seen with mtime 1728116266.6707866
DEBUG 2024-10-18 10:04:29,634 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/template/response.py first seen with mtime 1728116266.7197876
DEBUG 2024-10-18 10:04:29,634 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/utils/inspect.py first seen with mtime 1728116266.731788
DEBUG 2024-10-18 10:04:29,634 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/db/models/aggregates.py first seen with mtime 1728116266.685787
DEBUG 2024-10-18 10:04:29,634 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/rewards/views.py first seen with mtime 1729072486.365861
DEBUG 2024-10-18 10:04:29,634 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/cart/serializers.py first seen with mtime 1728909234.108461
DEBUG 2024-10-18 10:04:29,634 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/core/signals.py first seen with mtime 1728116266.6507864
DEBUG 2024-10-18 10:04:29,634 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/apps/registry.py first seen with mtime 1728116265.975773
DEBUG 2024-10-18 10:04:29,634 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/conf/locale/__init__.py first seen with mtime 1728116265.9777732
DEBUG 2024-10-18 10:04:29,634 autoreload File /usr/lib/python3.10/email/mime/__init__.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,634 autoreload File /usr/lib/python3.10/asyncio/futures.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,635 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/sqlparse/filters/right_margin.py first seen with mtime 1728116261.423685
DEBUG 2024-10-18 10:04:29,635 autoreload File /usr/lib/python3.10/asyncio/runners.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,635 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/forms/forms.py first seen with mtime 1728116266.6987872
DEBUG 2024-10-18 10:04:29,635 autoreload File /usr/lib/python3.10/unittest/suite.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,635 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/db/models/__init__.py first seen with mtime 1728116266.685787
DEBUG 2024-10-18 10:04:29,635 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/uritemplate/api.py first seen with mtime 1728116261.14968
DEBUG 2024-10-18 10:04:29,635 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/contrib/admin/helpers.py first seen with mtime 1728116266.0727751
DEBUG 2024-10-18 10:04:29,635 autoreload File /usr/lib/python3.10/posixpath.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,635 autoreload File /usr/lib/python3.10/types.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,635 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/contrib/contenttypes/checks.py first seen with mtime 1728116266.3077796
DEBUG 2024-10-18 10:04:29,635 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/cart/urls.py first seen with mtime 1728909234.108461
DEBUG 2024-10-18 10:04:29,635 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/utils/connection.py first seen with mtime 1728116266.7277877
DEBUG 2024-10-18 10:04:29,635 autoreload File /usr/lib/python3.10/asyncio/base_events.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,635 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/rest_framework/serializers.py first seen with mtime 1728116268.797828
DEBUG 2024-10-18 10:04:29,635 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/urllib3/fields.py first seen with mtime 1728116260.9616764
DEBUG 2024-10-18 10:04:29,635 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/views/defaults.py first seen with mtime 1728116266.7357879
DEBUG 2024-10-18 10:04:29,635 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/rest_framework/validators.py first seen with mtime 1728116268.7998278
DEBUG 2024-10-18 10:04:29,636 autoreload File /usr/lib/python3.10/importlib/_abc.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,636 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/rest_framework/mixins.py first seen with mtime 1728116268.7958279
DEBUG 2024-10-18 10:04:29,636 autoreload File /usr/lib/python3.10/email/headerregistry.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,636 autoreload File /usr/lib/python3.10/numbers.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,636 autoreload File /usr/lib/python3.10/email/mime/multipart.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,636 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/src/payment/apps.py first seen with mtime 1728919367.760882
DEBUG 2024-10-18 10:04:29,636 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/idna/package_data.py first seen with mtime 1728116262.8817134
DEBUG 2024-10-18 10:04:29,636 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/contrib/auth/decorators.py first seen with mtime 1728116266.2537787
DEBUG 2024-10-18 10:04:29,636 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/contrib/auth/tokens.py first seen with mtime 1728116266.2557786
DEBUG 2024-10-18 10:04:29,636 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/contrib/sessions/base_session.py first seen with mtime 1728116266.5677848
DEBUG 2024-10-18 10:04:29,636 autoreload File /usr/lib/python3.10/genericpath.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,637 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/rest_framework/utils/breadcrumbs.py first seen with mtime 1728116268.8478289
DEBUG 2024-10-18 10:04:29,637 autoreload File /usr/lib/python3.10/importlib/metadata/_itertools.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,637 autoreload File /usr/lib/python3.10/email/errors.py first seen with mtime 1726069656.0
DEBUG 2024-10-18 10:04:29,637 autoreload File /home/zaza/RealProject/AutomatedFoodOrderingAPI/myenv/lib/python3.10/site-packages/django/contrib/auth/signals.py first seen with mtime 1728116266.2557786
